"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
61,5.61,5.53,0.87,84.85,81.64,82.70,16.51,108,61,65,69,73,74,77,78,79,81,83,85,85,89,92,97,100,103,106,114
62,4.25,4.16,0.93,82.42,79.25,80.90,16.44,108,58,63,66,69,71,76,77,78,80,81,82,84,86,89,92,96,97,103,111
63,1.04,1.03,0.94,82.47,79.53,80.70,15.94,109,62,64,66,69,71,74,77,78,79,81,83,84,85,89,93,95,98,103,112
64,1.04,1.02,0.94,82.56,79.63,80.80,15.90,109,63,64,67,68,71,76,77,78,79,81,83,84,86,89,93,95,98,102,112
65,3.75,3.70,0.93,82.99,80.33,81.30,15.32,109,63,68,69,69,73,75,76,78,80,81,83,84,86,89,93,96,98,101,112
66,43.25,41.46,0.98,81.72,76.60,79.90,17.51,97,58,63,67,69,71,73,76,77,79,80,82,84,86,87,95,98,100,101,110
67,128.68,119.00,1.08,84.11,77.40,83.70,20.47,90,48,56,69,72,77,78,79,79,81,84,86,90,92,95,97,98,99,102,118
68,56.68,51.77,1.17,83.67,76.45,83.70,20.47,95,41,58,70,72,77,77,78,80,81,84,87,88,90,92,96,97,100,103,122
69,24.11,22.41,1.13,83.12,77.25,83.10,19.80,94,47,59,69,72,73,75,77,79,82,83,85,87,89,91,93,95,99,110,113
70,28.19,25.77,1.04,82.98,75.50,82.60,21.42,94,39,55,68,72,74,75,77,77,81,83,84,87,89,91,95,98,102,108,115
71,10.77,9.83,1.12,81.36,74.23,81.30,21.88,96,39,48,63,67,69,72,74,79,80,81,83,86,89,90,94,96,101,108,114
72,13.50,12.27,1.10,82.69,75.58,83.20,21.78,97,39,51,64,70,71,74,76,80,82,83,86,88,90,93,96,97,102,105,120
73,61.99,57.22,1.12,84.54,77.25,83.70,21.35,97,37,55,68,73,76,77,78,80,82,84,87,90,94,95,97,102,104,109,117
74,0.74,0.67,1.11,87.81,80.72,89.20,21.35,101,43,61,66,75,79,81,83,85,88,89,93,95,96,98,100,106,108,113,117
75,0.22,0.20,1.11,88.36,81.15,89.10,21.67,102,43,61,66,75,79,81,83,85,88,89,93,95,97,99,102,106,111,115,120
76,0.22,0.20,1.11,88.36,81.15,89.10,21.67,102,43,61,66,75,79,81,83,85,88,89,93,95,97,99,102,106,111,115,120
77,1.51,1.37,1.11,88.13,81.07,89.10,21.47,102,43,56,67,75,80,81,83,84,87,89,92,95,96,98,102,106,110,115,118
78,34.41,31.36,1.11,86.09,79.01,86.70,21.09,101,43,55,72,74,77,80,81,83,86,87,90,91,94,95,97,100,105,110,120
79,43.14,38.89,1.11,85.60,78.70,87.30,20.43,100,38,51,69,71,79,80,81,83,84,87,90,91,92,95,97,102,105,108,114
80,24.92,22.36,1.12,84.15,77.41,86.30,20.25,101,38,53,70,73,75,79,80,81,83,86,88,89,89,93,97,100,102,108,113
81,52.94,49.26,1.09,82.71,77.70,83.50,17.89,101,51,56,69,73,75,77,80,81,83,84,85,87,88,91,94,96,100,102,106
82,18.96,17.47,1.08,87.58,81.47,88.40,20.68,102,43,64,71,75,78,79,80,83,85,88,92,95,96,97,100,102,107,111,115
83,20.58,19.35,1.05,84.70,79.19,84.20,19.51,100,43,56,68,72,74,77,78,80,82,84,87,89,93,95,96,98,107,109,115
84,17.45,15.45,1.02,81.56,73.23,82.70,20.37,102,42,52,66,72,73,76,78,80,81,83,86,88,89,91,94,96,101,104,112
85,65.78,59.13,1.13,79.21,71.47,79.50,20.10,106,41,51,60,67,72,73,75,77,79,80,81,85,88,90,93,96,100,102,105
86,44.00,37.72,1.20,64.97,57.09,66.60,20.19,109,35,39,46,48,51,53,59,61,64,67,68,71,72,75,77,79,82,89,91
87,34.14,31.88,0.98,72.24,66.69,71.40,19.11,73,39,46,53,59,64,65,66,67,68,71,76,77,79,81,82,87,91,92,98
88,44.41,38.50,1.11,78.60,70.49,81.30,22.28,74,35,41,56,70,73,74,75,77,79,81,83,85,86,88,91,92,95,99,115
89,28.65,23.80,1.22,80.89,68.45,82.40,25.89,74,28,40,51,64,72,76,79,80,81,82,85,90,92,94,97,99,101,105,121
90,16.91,13.68,1.21,82.08,68.51,84.70,26.46,76,28,40,60,67,72,77,79,81,82,85,87,90,92,94,95,96,100,112,126
91,21.06,17.38,1.19,80.74,68.91,83.50,25.90,76,30,40,52,65,70,74,76,80,82,84,85,87,91,92,95,96,104,112,122
92,0.93,0.76,1.18,84.42,71.85,87.90,26.77,78,28,36,53,69,73,77,79,83,84,88,92,95,96,97,100,105,107,115,124
93,14.24,11.79,1.19,81.47,70.31,84.90,25.56,78,28,37,53,62,71,72,78,80,83,85,88,90,92,94,96,101,105,109,117
94,24.81,20.65,1.15,86.30,75.57,90.80,24.76,79,31,46,61,71,78,80,83,85,88,91,92,94,96,98,100,104,106,110,124
95,2.92,2.46,1.13,86.92,77.01,91.40,24.75,81,36,47,59,74,78,81,84,86,89,91,92,94,97,99,100,103,106,109,125
96,28.72,26.04,1.08,83.94,76.53,84.40,21.35,79,38,50,59,68,75,80,81,82,83,84,89,91,93,96,99,100,102,108,115
97,7.14,6.40,1.08,87.99,80.06,89.20,22.67,79,39,53,61,72,79,82,84,86,87,89,92,96,98,99,105,108,110,114,121
98,22.21,19.63,1.08,86.01,78.66,89.00,21.66,81,45,56,60,70,77,80,82,84,88,89,92,93,95,97,100,103,106,108,115
99,37.30,33.05,1.11,89.22,81.44,91.90,21.76,80,38,53,64,76,79,84,89,89,91,92,93,96,99,102,103,107,110,112,118
100,32.51,29.30,1.11,85.24,77.94,86.50,21.69,80,38,51,60,65,77,79,82,85,85,87,90,93,95,97,99,100,103,107,114
101,11.80,10.16,1.12,86.57,78.03,90.70,23.72,83,42,45,60,65,78,80,85,86,88,91,93,95,98,98,99,103,108,112,121
102,41.25,37.81,1.10,85.43,77.90,85.00,22.64,84,42,52,60,72,75,80,82,82,84,85,89,93,95,97,99,102,107,108,115
103,6.15,5.32,1.13,80.55,72.09,83.30,23.47,85,37,43,50,62,67,70,73,78,82,83,85,90,91,93,95,97,102,110,115
104,46.18,41.24,1.12,73.21,67.33,75.40,18.87,83,40,48,49,56,61,64,69,72,75,75,77,80,82,85,87,89,91,94,99
