"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
66,43.16,40.70,0.93,79.18,76.76,81.40,13.48,97,60,62,65,67,68,70,72,74,77,81,84,85,87,87,88,89,90,95,103
67,120.20,113.18,1.03,85.79,82.86,88.00,12.99,88,66,71,74,76,80,82,83,85,86,88,90,91,91,92,93,95,96,100,102
68,49.70,48.80,0.94,89.34,87.19,88.80,12.95,90,70,73,75,79,83,84,85,86,88,89,91,92,93,96,98,100,104,106,109
69,22.84,21.07,1.04,85.25,81.53,88.40,15.50,88,56,67,70,72,77,80,83,85,87,88,90,92,93,94,95,96,98,103,107
70,26.34,24.81,0.96,84.02,80.81,85.80,15.38,88,55,66,70,72,74,78,79,81,84,86,87,89,90,91,92,96,97,103,108
71,9.81,9.37,1.00,84.12,81.52,85.30,13.71,91,64,68,71,74,75,77,79,82,84,85,86,88,89,91,92,94,99,102,105
72,12.23,11.82,1.02,85.58,83.45,86.30,12.57,91,67,70,74,75,77,80,81,83,84,86,88,90,91,92,95,96,97,99,105
73,55.28,53.51,1.01,89.01,86.63,89.50,13.74,87,68,72,77,81,83,84,86,86,88,90,91,93,93,94,96,97,101,104,109
74,0.66,0.64,1.00,93.16,89.72,93.20,16.80,89,72,75,78,82,84,86,87,88,90,93,95,97,98,100,102,104,108,113,121
75,0.20,0.19,1.00,93.45,90.22,93.30,16.59,89,72,76,78,82,84,86,87,89,91,93,95,97,98,100,102,104,108,114,121
76,0.20,0.19,1.00,93.46,90.22,93.30,16.59,89,72,76,78,82,84,86,87,89,91,93,95,97,98,100,102,104,108,114,121
77,1.36,1.32,1.00,93.12,89.82,92.60,16.70,89,68,73,78,82,84,85,87,89,91,93,95,97,98,100,102,104,108,113,121
78,30.80,30.17,0.99,90.81,88.25,90.10,14.50,88,70,74,78,81,83,85,86,88,90,90,93,94,96,98,99,100,101,106,115
79,39.09,38.19,1.00,89.67,86.87,88.90,14.94,92,69,73,78,79,80,83,86,87,88,89,92,93,95,97,98,99,102,103,113
80,22.65,21.44,1.01,87.99,85.17,90.00,14.77,95,67,71,74,75,79,82,84,86,88,90,92,92,93,94,96,98,101,102,111
81,53.18,50.04,1.04,81.04,77.35,82.20,15.29,93,49,63,67,70,74,77,78,78,80,82,84,85,87,90,91,92,94,97,102
82,18.32,17.61,1.03,87.12,84.30,87.70,15.21,95,67,69,72,73,77,79,80,83,84,88,90,91,94,95,97,100,101,104,110
83,19.54,18.77,0.83,86.48,83.37,86.80,15.66,95,62,66,70,73,78,80,82,83,85,87,88,89,93,94,97,99,102,108,112
84,16.18,15.21,1.05,83.52,78.95,84.00,16.50,96,63,65,68,71,73,76,79,81,83,84,86,86,88,91,93,96,98,102,111
85,62.48,57.89,1.06,78.02,75.24,81.20,13.42,96,50,60,63,67,70,73,75,77,79,81,82,83,84,86,87,88,91,92,96
86,42.83,38.95,1.09,63.68,58.64,64.50,16.11,94,36,43,46,46,52,56,59,61,63,65,67,69,72,73,74,77,81,83,88
87,37.10,32.66,1.15,70.86,61.36,69.70,15.44,69,51,58,61,62,63,64,67,68,69,70,70,71,73,75,76,83,86,91,95
88,40.88,38.79,1.07,80.04,76.59,80.70,14.33,70,58,65,69,71,73,74,76,77,79,81,81,83,83,85,87,90,92,94,108
89,23.92,22.44,1.05,87.27,82.01,87.40,17.63,72,64,71,72,75,77,80,82,84,86,87,88,90,92,95,97,100,105,108,117
90,14.34,13.09,1.06,86.53,80.77,88.50,18.82,71,53,69,69,74,77,80,81,84,85,89,90,92,93,94,95,98,102,105,114
91,18.08,16.83,0.90,86.35,80.27,86.20,18.82,71,50,67,70,74,78,80,81,83,84,86,91,91,95,95,97,100,101,104,113
92,0.76,0.72,0.84,92.18,87.23,92.30,18.68,71,65,72,77,80,82,84,87,89,90,92,94,96,99,99,102,104,106,114,126
93,11.71,11.05,0.84,90.05,85.49,90.60,17.50,71,64,71,75,79,80,83,84,87,89,91,93,94,96,100,101,102,106,107,121
94,21.33,20.25,0.85,92.80,87.87,92.60,18.16,70,62,73,77,81,86,88,89,90,92,93,94,95,99,102,103,105,106,108,123
95,2.57,2.40,0.93,92.77,87.47,93.60,18.10,71,52,74,81,84,84,89,89,91,92,94,96,97,99,101,105,106,108,109,122
96,25.46,23.83,1.00,89.84,86.31,92.20,15.43,71,66,72,73,80,81,85,86,89,89,92,93,94,96,99,100,101,103,106,115
97,6.40,6.13,1.01,92.14,89.27,93.20,14.71,74,68,73,78,83,85,88,89,91,92,93,95,96,97,98,100,101,105,108,119
98,19.88,18.93,1.02,91.30,87.88,92.30,16.04,74,68,73,77,81,84,85,86,89,90,92,94,95,96,97,99,102,108,113,116
99,33.24,32.52,1.02,94.71,91.38,93.40,16.39,73,70,77,79,84,86,87,90,92,92,93,95,97,100,103,105,107,109,117,125
100,29.21,28.25,1.03,90.71,86.74,89.70,17.29,74,64,73,78,80,83,84,85,86,88,90,91,94,95,98,101,106,107,110,124
101,10.31,9.88,1.01,93.93,89.32,93.20,19.20,74,66,73,79,81,84,85,86,89,91,93,95,97,102,104,107,109,114,116,124
102,40.58,36.19,1.09,86.76,79.18,88.80,20.59,74,46,61,68,69,77,81,84,84,86,89,92,94,96,98,99,102,105,108,114
103,5.73,5.07,1.07,85.24,77.42,87.40,20.70,75,43,57,68,70,75,77,80,84,85,87,90,93,94,97,98,102,103,106,118
104,42.57,40.54,1.07,77.68,73.04,76.70,17.00,73,44,59,64,66,68,71,72,74,75,77,81,82,84,85,86,88,92,99,111
